prompt_index,encoder,cosine_distance,relative_l2,self_check_cosine_distance
0,qwen3vl_32b_minimax_h3_int8_convrot.safetensors,-1.52587890625e-05,0.0036468037869781256,-2.086162567138672e-05
0,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,-5.4836273193359375e-06,0.0060361032374203205,-2.086162567138672e-05
0,qwen3vl_32b_minimax_h3-int4_convrot.safetensors,0.0019226670265197754,0.06267645210027695,-2.086162567138672e-05
1,qwen3vl_32b_minimax_h3_int8_convrot.safetensors,-0.0006375312805175781,0.004048817791044712,-0.0006426572799682617
1,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,-0.0005280971527099609,0.015337174758315086,-0.0006426572799682617
1,qwen3vl_32b_minimax_h3-int4_convrot.safetensors,0.0018528103828430176,0.07312892377376556,-0.0006426572799682617
2,qwen3vl_32b_minimax_h3_int8_convrot.safetensors,-3.719329833984375e-05,0.003536838572472334,-4.303455352783203e-05
2,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,-2.205371856689453e-05,0.006871424615383148,-4.303455352783203e-05
2,qwen3vl_32b_minimax_h3-int4_convrot.safetensors,0.0019431114196777344,0.06304404884576797,-4.303455352783203e-05
3,qwen3vl_32b_minimax_h3_int8_convrot.safetensors,-7.593631744384766e-05,0.0037157044280320406,-8.213520050048828e-05
3,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,-3.6716461181640625e-05,0.0097306277602911,-8.213520050048828e-05
3,qwen3vl_32b_minimax_h3-int4_convrot.safetensors,0.0019873380661010742,0.06464901566505432,-8.213520050048828e-05
4,qwen3vl_32b_minimax_h3_int8_convrot.safetensors,-7.450580596923828e-05,0.00389563268981874,-8.0108642578125e-05
4,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,-5.698204040527344e-05,0.008117522113025188,-8.0108642578125e-05
4,qwen3vl_32b_minimax_h3-int4_convrot.safetensors,0.0019502043724060059,0.06714820861816406,-8.0108642578125e-05
5,qwen3vl_32b_minimax_h3_int8_convrot.safetensors,-6.711483001708984e-05,0.004038207232952118,-7.474422454833984e-05
5,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,-9.775161743164062e-06,0.01218477264046669,-7.474422454833984e-05
5,qwen3vl_32b_minimax_h3-int4_convrot.safetensors,0.002035975456237793,0.0672856867313385,-7.474422454833984e-05
